Month_Year,Commodity,Arrivals,Unit,Modal_Price,Market
01-2018,TOMATO,79821,Qunital,459,Kolar
02-2018,TOMATO,40313,Qunital,387,Kolar
03-2018,TOMATO,26147,Qunital,515,Kolar
04-2018,TOMATO,29897,Qunital,525,Kolar
05-2018,TOMATO,53209,Qunital,516,Kolar
06-2018,TOMATO,178534,Qunital,789,Kolar
07-2018,TOMATO,215663,Qunital,1114,Kolar
08-2018,TOMATO,227224,Qunital,684,Kolar
09-2018,TOMATO,134424,Qunital,597,Kolar
10-2018,TOMATO,127060,Qunital,709,Kolar
